Customer ID,Age,Gender,Location, Annual Income ,Date of purchase 1,product Category of pur1, Price of purchase 1 ,Date of purchase 2,product Category of pur2, Price of purchase2 ,Dates of purchase 3,product Category of pur3, Price of purchase3 ,Date of Purchase 4,product Category of pur4,Price of Purchase4,Time on Site,Product Rating
1001,25,Female,City D," $45,000 ",2022-03-05,Clothing, $34.99 ,2022-02-12,Electronics, $129.99 ,2022-01-20,Home & Garden, $29.99 ,,,,32.5,4
1001,28,Female,City D," $52,000 ",2022-05-15,Clothing, $34.56 ,2022-06-02,Electronics, $150.99 ,,,,,,,123.45,
1001,28,Female,City D," $65,000 ",2022-08-15,Electronics, $345.50 ,2022-07-02,Home & Garden, $279.99 ,,,,,,,125.6,
1001,45,Female,City D," $70,000 ",2022-08-15,Electronics, $200.50 ,2022-07-22,Clothing, $125.60 ,2022-06-01,Home & Garden, $300.80 ,2022-05-10,Electronics, $150.90 ,327.6,4
1002,34,Male,City E," $45,000 ",2022-07-25,Clothing, $67.20 ,2022-06-08,Home & Garden, $250.10 ,2022-05-15,Electronics, $400.70 ,,,,214.9,3
1003,56,Other,City F," $90,000 ",2022-09-01,Electronics, $300.20 ,2022-08-12,Clothing, $185.30 ,2022-07-28,Home & Garden, $200.90 ,,,,486.3,5
1004,29,Female,City G," $60,000 ",2022-07-20,Electronics, $150.80 ,2022-06-05,Clothing, $120.60 ,2022-05-18,Home & Garden, $350.10 ,,,,378.5,4
1005,42,Male,City H," $75,000 ",2022-08-28,Electronics, $250.60 ,2022-07-15,Clothing, $115.70 ,2022-06-03,Home & Garden, $300.40 ,,,,289.8,3
1006,51,Other,City I," $85,000 ",2022-09-05,Electronics, $400.90 ,2022-08-18,Clothing, $195.30 ,2022-07-03,Home & Garden, $220.70 ,,,,456.2,5
1007,36,Female,City J," $55,000 ",2022-07-27,Electronics, $120.50 ,2022-06-12,Clothing, $130.60 ,2022-05-28,Home & Garden, $320.80 ,,,,334.9,4
1008,48,Male,City K," $80,000 ",2022-09-08,Electronics, $350.20 ,2022-08-23,Clothing, $165.30 ,2022-07-07,Home & Garden, $280.90 ,,,,298.6,3
